age,job,marital,education,balance,duration
58.0,management,married,tertiary,2143,261
44.0,technician,single,secondary,29,151
33.0,entrepreneur,married,secondary,2,76
47.0,blue-collar,married,unknown,1506,92
33.0,unknown,single,unknown,1,198
35.0,management,married,tertiary,231,139
28.0,management,single,tertiary,447,217
42.0,entrepreneur,divorced,tertiary,2,380
58.0,retired,married,primary,121,50
43.0,technician,single,secondary,593,55
41.0,admin.,divorced,secondary,270,222
29.0,admin.,single,secondary,390,137
53.0,technician,married,secondary,6,517
58.0,technician,married,unknown,71,71
57.0,services,married,secondary,162,174
51.0,retired,married,primary,229,353
45.0,admin.,single,unknown,13,98
57.0,blue-collar,married,primary,52,38
60.0,retired,married,primary,60,219
33.0,services,married,secondary,0,54
28.0,blue-collar,married,secondary,723,262
56.0,management,married,tertiary,779,164
32.0,blue-collar,single,primary,23,160
25.0,services,married,secondary,50,342
40.0,retired,married,primary,0,181
44.0,admin.,married,secondary,-372,172
39.0,management,single,tertiary,255,296
52.0,entrepreneur,married,secondary,113,127
46.0,management,single,secondary,-246,255
36.0,technician,single,secondary,265,348
57.0,technician,married,secondary,839,225
49.0,management,married,tertiary,378,230
60.0,admin.,married,secondary,39,208
59.0,blue-collar,married,secondary,0,226
51.0,management,married,tertiary,10635,336
57.0,technician,divorced,secondary,63,242
25.0,blue-collar,married,secondary,-7,365
53.0,technician,married,secondary,-3,1666
36.0,admin.,divorced,secondary,506,577
37.0,admin.,single,secondary,0,137
44.0,services,divorced,secondary,2586,160
50.0,management,married,secondary,49,180
60.0,blue-collar,married,unknown,104,22
54.0,retired,married,secondary,529,1492
58.0,retired,married,unknown,96,616
36.0,admin.,single,primary,-171,242
58.0,self-employed,married,tertiary,-364,355
44.0,technician,married,secondary,0,225
55.0,technician,divorced,secondary,0,160
29.0,management,single,tertiary,0,363
54.0,blue-collar,married,secondary,1291,266
48.0,management,divorced,tertiary,-244,253
32.0,management,married,tertiary,0,179
42.0,admin.,single,secondary,-76,787
24.0,technician,single,secondary,-103,145
38.0,entrepreneur,single,tertiary,243,174
38.0,management,single,tertiary,424,104
47.0,blue-collar,married,unknown,306,13
40.0,blue-collar,single,unknown,24,185
46.0,services,married,primary,179,1778
32.0,admin.,married,tertiary,0,138
53.0,technician,divorced,secondary,989,812
57.0,blue-collar,married,primary,249,164
33.0,services,married,secondary,790,391
49.0,blue-collar,married,unknown,154,357
51.0,management,married,tertiary,6530,91
60.0,retired,married,tertiary,100,528
59.0,management,divorced,tertiary,59,273
55.0,technician,married,secondary,1205,158
35.0,blue-collar,single,secondary,12223,177
57.0,blue-collar,married,secondary,5935,258
31.0,services,married,secondary,25,172
54.0,management,married,secondary,282,154
55.0,blue-collar,married,primary,23,291
43.0,technician,married,secondary,1937,181
53.0,technician,married,secondary,384,176
44.0,blue-collar,married,secondary,582,211
55.0,services,divorced,secondary,91,349
49.0,services,divorced,secondary,0,272
55.0,services,divorced,secondary,1,208
45.0,admin.,single,secondary,206,193
47.0,services,divorced,secondary,164,212
42.0,technician,single,secondary,690,20
59.0,admin.,married,secondary,2343,1042
