,name,addr,city,phone,type,Age,experience
0,arnie morton's of chicago, 435 s. la cienega blv . ,los angeles,3102461501,american,20,10
1,art's delicatessen, 12224 ventura blvd. ,studio city,8187621221,american,19,9
2,campanile, 624 s. la brea ave. ,los angeles,2139381447,american,33,23
3,fenix, 8358 sunset blvd. west ,hollywood,2138486677,american,32,22
4,grill on the alley, 9560 dayton way ,los angeles,3102760615,american,12,2
5,restaurant katsu, 1972 n. hillhurst ave. ,los angeles,2136651891,asian,34,24
6,locanda veneta, 3rd st. ,los angeles,3102741893,italian,45,35
7,matsuhisa, 129 n. la cienega blvd. ,beverly hills,3106599639,asian,23,13
8,the palm, 9001 santa monica blvd. ,los angeles,3105508811,american,45,35
9,philippe's the original, 1001 n. alameda st. ,los angeles,2136283781,american,32,22
10,rex il ristorante, 617 s. olive st. ,los angeles,2136272300,italian,45,35
11,valentino, 3115 pico blvd. ,santa monica,3108294313,italian,23,13
12,yujean kang's gourmet chinese cuisine,67 n. raymond ave. ,los angeles,8185850855,asian,43,33
13,21 club,21 w. 52nd st. ,new york,2125827200,american,32,22
14,aureole,34 e. 61st st. ,new york,2123191660,american,54,44
15,cafe lalo, 201 w. 83rd st. ,new york,2124966031,coffeebar,34,24
16,carmine's, 2450 broadway between 90th and 91st sts . ,new york,2123622200,italian,56,46
17,chanterelle, 2 harrison st. near hudson st. ,new york,2129666960,american,43,33
18,dawat, 210 e. 58th st. ,new york,2123557555,asian,23,13
19,felidia, 243 e. 58th st. ,new york,2127581479,italian,32,22
20,four seasons grill room,99 e. 52nd st. ,new york,2127549494,american,32,22
21,gotham bar & grill,12 e. 12th st. ,new york,2126204020,american,12,2
22,gramercy tavern,42 e. 20th st. between park ave. s and broadway ,new york,2124770777,american,23,13
23,jo jo, 160 e. 64th st. ,new york,2122235656,american,34,24
24,lespinasse, 2 e. 55th st. ,new york,2123396719,american,45,35
25,march, 405 e. 58th st. ,new york,2127546272,american,54,44
26,mesa grill, 102 5th ave. between 15th and 16th sts . ,new york,2128077400,american,32,22
27,mi cocina,57 jane st. off hudson st. ,new york,2126278273,mexican,23,13
28,park avenue cafe, 100 e. 63rd st. ,new york,2126441900,american,43,33
