my_index,age,job,marital,education,balance,duration,age_divided,smoker,travelled before,day
0,58,management,married,tertiary,2143,261,old_customers,yes,yes,day 1
1,44,technician,single,secondary,29,151,old_customers,yes,no,day 3
2,33,entrepreneur,married,secondary,2,76,young_customers,no,no,day 2
3,47,blue-collar,married,unknown,1506,92,old_customers,yes,no,day 1
4,33,unknown,single,unknown,1,198,young_customers,no,yes,day 4
5,35,management,married,tertiary,231,139,young_customers,no,no,day 1
6,28,management,single,tertiary,447,217,young_customers,yes,no,day 3
7,42,entrepreneur,divorced,tertiary,2,380,young_customers,yes,yes,day 2
8,58,retired,married,primary,121,50,old_customers,no,no,day 1
9,43,technician,single,secondary,593,55,old_customers,yes,no,day 4
10,41,admin.,divorced,secondary,270,222,young_customers,no,no,day 1
11,29,admin.,single,secondary,390,137,young_customers,no,yes,day 3
12,53,technician,married,secondary,6,517,old_customers,yes,no,day 2
13,58,technician,married,unknown,71,71,old_customers,yes,no,day 1
14,57,services,married,secondary,162,174,old_customers,no,yes,day 4
15,51,retired,married,primary,229,353,old_customers,yes,no,day 1
16,45,admin.,single,unknown,13,98,old_customers,no,no,day 3
17,57,blue-collar,married,primary,52,38,old_customers,no,no,day 2
18,60,retired,married,primary,60,219,old_customers,yes,yes,day 1
19,33,services,married,secondary,0,54,young_customers,yes,no,day 4
20,28,blue-collar,married,secondary,723,262,young_customers,no,no,day 1
21,56,management,married,tertiary,779,164,old_customers,yes,yes,day 3
22,32,blue-collar,single,primary,23,160,young_customers,no,no,day 2
23,25,services,married,secondary,50,342,young_customers,no,no,day 1
24,40,retired,married,primary,0,181,young_customers,yes,no,day 4
25,44,admin.,married,secondary,-372,172,old_customers,yes,yes,day 1
26,39,management,single,tertiary,255,296,young_customers,no,no,day 3
27,52,entrepreneur,married,secondary,113,127,old_customers,yes,no,day 2
28,46,management,single,secondary,-246,255,old_customers,no,yes,day 1
29,36,technician,single,secondary,265,348,young_customers,no,no,day 4
30,57,technician,married,secondary,839,225,old_customers,yes,no,day 1
31,49,management,married,tertiary,378,230,old_customers,yes,no,day 3
32,60,admin.,married,secondary,39,208,old_customers,no,yes,day 2
33,59,blue-collar,married,secondary,0,226,old_customers,yes,no,day 1
34,51,management,married,tertiary,10635,336,old_customers,no,no,day 4
35,57,technician,divorced,secondary,63,242,old_customers,no,yes,day 1
36,25,blue-collar,married,secondary,-7,365,young_customers,yes,no,day 3
37,53,technician,married,secondary,-3,1666,old_customers,yes,no,day 2
38,36,admin.,divorced,secondary,506,577,young_customers,no,no,day 1
39,37,admin.,single,secondary,0,137,young_customers,yes,yes,day 4
40,44,services,divorced,secondary,2586,160,old_customers,no,no,day 1
41,50,management,married,secondary,49,180,old_customers,no,no,day 3
42,60,blue-collar,married,unknown,104,22,old_customers,yes,yes,day 2
43,54,retired,married,secondary,529,1492,old_customers,yes,no,day 1
44,58,retired,married,unknown,96,616,old_customers,no,no,day 4
45,36,admin.,single,primary,-171,242,young_customers,yes,no,day 1
46,58,self-employed,married,tertiary,-364,355,old_customers,no,yes,day 3
47,44,technician,married,secondary,0,225,old_customers,no,no,day 2
48,55,technician,divorced,secondary,0,160,old_customers,yes,no,day 1
49,29,management,single,tertiary,0,363,young_customers,yes,yes,day 4
50,54,blue-collar,married,secondary,1291,266,old_customers,no,no,day 1
51,48,management,divorced,tertiary,-244,253,old_customers,yes,no,day 3
52,32,management,married,tertiary,0,179,young_customers,no,no,day 2
53,42,admin.,single,secondary,-76,787,young_customers,no,yes,day 1
54,24,technician,single,secondary,-103,145,young_customers,yes,no,day 4
55,38,entrepreneur,single,tertiary,243,174,young_customers,yes,no,day 1
56,38,management,single,tertiary,424,104,young_customers,no,yes,day 3
57,47,blue-collar,married,unknown,306,13,old_customers,yes,no,day 2
58,40,blue-collar,single,unknown,24,185,young_customers,no,no,day 1
59,46,services,married,primary,179,1778,old_customers,no,no,day 4
60,32,admin.,married,tertiary,0,138,young_customers,yes,yes,day 1
61,53,technician,divorced,secondary,989,812,old_customers,yes,no,day 3
62,57,blue-collar,married,primary,249,164,old_customers,no,no,day 2
63,33,services,married,secondary,790,391,young_customers,yes,yes,day 1
64,49,blue-collar,married,unknown,154,357,old_customers,no,no,day 4
65,51,management,married,tertiary,6530,91,old_customers,no,no,day 1
66,60,retired,married,tertiary,100,528,old_customers,yes,no,day 3
67,59,management,divorced,tertiary,59,273,old_customers,yes,yes,day 2
68,55,technician,married,secondary,1205,158,old_customers,no,no,day 1
69,35,blue-collar,single,secondary,12223,177,young_customers,yes,no,day 4
70,57,blue-collar,married,secondary,5935,258,old_customers,no,yes,day 1
71,31,services,married,secondary,25,172,young_customers,no,no,day 3
72,54,management,married,secondary,282,154,old_customers,yes,no,day 2
73,55,blue-collar,married,primary,23,291,old_customers,yes,no,day 1
74,43,technician,married,secondary,1937,181,old_customers,no,yes,day 4
75,53,technician,married,secondary,384,176,old_customers,yes,no,day 1
76,44,blue-collar,married,secondary,582,211,old_customers,no,no,day 3
77,55,services,divorced,secondary,91,349,old_customers,no,yes,day 2
78,49,services,divorced,secondary,0,272,old_customers,yes,no,day 1
79,55,services,divorced,secondary,1,208,old_customers,yes,no,day 4
80,45,admin.,single,secondary,206,193,old_customers,no,no,day 1
81,47,services,divorced,secondary,164,212,old_customers,yes,yes,day 3
82,42,technician,single,secondary,690,20,young_customers,no,no,day 2
83,59,admin.,married,secondary,2343,1042,old_customers,no,no,day 1
84,46,self-employed,married,tertiary,137,246,old_customers,yes,yes,day 4
85,51,blue-collar,married,primary,173,529,old_customers,yes,no,day 1
86,56,admin.,married,secondary,45,1467,old_customers,no,no,day 3
87,41,technician,married,secondary,1270,1389,young_customers,yes,no,day 2
88,46,management,divorced,secondary,16,188,old_customers,no,yes,day 1
89,57,retired,married,secondary,486,180,old_customers,no,no,day 4
90,42,management,single,secondary,50,48,young_customers,yes,no,day 1
91,30,technician,married,secondary,152,213,young_customers,yes,yes,day 3
92,60,admin.,married,secondary,290,583,old_customers,no,no,day 2
93,60,blue-collar,married,unknown,54,221,old_customers,yes,no,day 1
94,57,entrepreneur,divorced,secondary,-37,173,old_customers,no,no,day 4
95,36,management,married,tertiary,101,426,young_customers,no,yes,day 1
96,55,blue-collar,married,secondary,383,287,old_customers,yes,no,day 3
97,60,retired,married,tertiary,81,101,old_customers,yes,no,day 2
98,39,technician,married,secondary,0,203,young_customers,no,yes,day 1
99,46,management,married,tertiary,229,197,old_customers,yes,no,day 4
100,44,blue-collar,married,secondary,-674,257,old_customers,no,no,day 1
101,53,blue-collar,married,primary,90,124,old_customers,no,no,day 3
102,52,blue-collar,married,primary,128,229,old_customers,yes,yes,day 2
103,59,blue-collar,married,primary,179,55,old_customers,yes,no,day 1
104,27,technician,single,tertiary,0,400,young_customers,no,no,day 4
105,44,blue-collar,married,secondary,54,197,old_customers,yes,yes,day 1
106,47,technician,married,tertiary,151,190,old_customers,no,no,day 3
107,34,admin.,married,secondary,61,21,young_customers,no,no,day 2
108,59,retired,single,secondary,30,514,old_customers,yes,no,day 1
109,45,management,married,tertiary,523,849,old_customers,yes,yes,day 4
110,29,services,divorced,secondary,31,0,young_customers,no,no,day 1
111,46,technician,divorced,secondary,79,144,old_customers,yes,no,day 3
112,56,self-employed,married,primary,-34,212,old_customers,no,yes,day 2
113,36,blue-collar,married,primary,448,286,young_customers,no,no,day 1
114,59,retired,divorced,primary,81,107,old_customers,yes,no,day 4
115,44,blue-collar,married,secondary,144,247,old_customers,yes,no,day 1
116,41,admin.,married,secondary,351,518,young_customers,no,yes,day 3
117,33,management,single,tertiary,-67,364,young_customers,yes,no,day 2
118,59,management,divorced,tertiary,262,178,old_customers,no,no,day 1
119,57,technician,married,primary,0,98,old_customers,no,yes,day 4
120,56,technician,divorced,unknown,56,439,old_customers,yes,no,day 1
121,51,blue-collar,married,secondary,26,79,old_customers,yes,no,day 3
122,34,admin.,married,unknown,3,120,young_customers,no,no,day 2
123,43,services,married,secondary,41,127,old_customers,yes,yes,day 1
124,52,technician,married,tertiary,7,175,old_customers,no,no,day 4
125,33,technician,single,secondary,105,262,young_customers,no,no,day 1
126,29,admin.,single,secondary,818,61,young_customers,yes,yes,day 3
127,34,services,married,secondary,-16,78,young_customers,yes,no,day 2
